iter	MAPE	RMSE
0	1.467398501	114848574.2
1	1.424980745	112027605.8
2	1.375149775	109020136.8
3	1.338589434	106710156.9
4	1.294987182	104135956
5	1.25813264	101640240.3
6	1.222864956	99296288.97
7	1.183780047	96923525.62
8	1.144387697	94607152.66
9	1.110534123	92606994.79
10	1.083365777	90723554.88
11	1.049211116	88714790.67
12	1.018870941	86817397.9
13	0.9900676493	85239083.6
14	0.9594340819	83483314.44
15	0.9321153248	82132961.87
16	0.9073595521	80620786.61
17	0.8832107688	79059272.29
18	0.8603487349	77673488.32
19	0.8361452901	76254916.97
20	0.815617419	75045597.88
21	0.7930152423	73813634.73
22	0.7735110064	72577925.76
23	0.7576022409	71538219.55
24	0.7381878854	70403052.62
25	0.7195838434	69359810.37
26	0.7015796982	68456450.24
27	0.6843905179	67421446.81
28	0.6682810136	66428685.36
29	0.6545335089	65622466.25
30	0.6402547472	64922622
31	0.6262827889	64127454.91
32	0.6122185164	63398382.83
33	0.5987461994	62700039.86
34	0.5843342209	61947463.81
35	0.5727231621	61387517.94
36	0.5656676938	60938581.72
37	0.5532926696	60324281.77
38	0.5431293548	59691761.58
39	0.5308525884	59066811.69
40	0.5208118409	58581048.1
41	0.5121565114	58200536.25
42	0.5067127353	57909043.06
43	0.4966769461	57547472.09
44	0.4920900523	57147143.67
45	0.4839769635	56685089.38
46	0.4766648921	56288512.93
47	0.4695184194	55935932.06
48	0.4636788161	55397084.93
49	0.4594662672	55071351.3
50	0.4543347323	54773110.16
51	0.4475447889	54463369.17
52	0.4416059831	54144529.53
53	0.4358267028	53645381.46
54	0.4282675739	53338585.44
55	0.4206031766	53011676.14
56	0.4153624799	52674768.71
57	0.4100260926	52496655.12
58	0.4069386161	52037094.76
59	0.401783495	51694146.96
60	0.3978440347	51358133.23
61	0.3929468533	51001854.36
62	0.3879941107	50840453.39
63	0.3825922245	50516662.39
64	0.3776082214	50247982.61
65	0.3736782139	50002217.06
66	0.3699210346	49750657.39
67	0.3658876361	49561914.03
68	0.3632479456	49317647.22
69	0.3583163755	49083465.96
70	0.3540107383	48893918.48
71	0.3520375688	48678387.86
72	0.3488317072	48527607.69
73	0.3465143895	48299391.29
74	0.3447321666	48077804.05
75	0.3424525881	47916675.16
76	0.3387278592	47679201.14
77	0.3356062844	47570289.21
