iter	Passed	Remaining
0	145	145032
1	146	73092
2	147	49055
3	148	37042
4	149	29842
5	151	25025
6	151	21556
7	153	18977
8	154	16993
9	155	15385
10	156	14073
11	157	12969
12	158	12062
13	160	11282
14	161	10596
15	162	9991
16	163	9457
17	164	8978
18	165	8556
19	166	8169
20	168	7844
21	169	7545
22	171	7266
23	172	6996
24	173	6750
25	174	6525
26	175	6324
27	176	6127
28	177	5944
29	178	5771
30	179	5611
31	180	5459
32	181	5318
33	182	5186
34	183	5060
35	184	4944
36	185	4820
37	186	4716
38	187	4614
39	188	4516
40	189	4425
41	190	4336
42	191	4252
43	192	4174
44	193	4100
45	194	4031
46	195	3961
47	196	3894
48	197	3828
49	198	3770
50	199	3710
51	200	3652
52	201	3597
53	202	3543
54	203	3495
55	204	3453
56	205	3407
57	207	3361
58	208	3319
59	209	3278
60	210	3237
61	211	3195
62	212	3155
63	213	3116
64	214	3080
65	215	3044
66	216	3009
67	217	2976
68	218	2945
69	219	2912
70	220	2884
71	221	2853
72	222	2823
73	223	2795
74	224	2768
75	225	2743
76	226	2717
77	227	2690
78	228	2664
79	229	2639
80	230	2615
81	231	2590
82	232	2566
83	233	2544
84	234	2523
85	235	2501
86	236	2480
87	237	2461
88	238	2443
89	239	2425
90	240	2405
91	241	2386
92	242	2367
93	243	2349
94	244	2329
95	245	2311
96	246	2294
97	247	2277
98	248	2260
99	249	2243
100	250	2227
101	251	2215
102	252	2199
103	253	2183
104	254	2168
105	255	2152
106	256	2139
107	257	2123
108	258	2110
109	259	2096
110	260	2082
111	261	2069
112	262	2057
113	263	2045
114	263	2028
115	264	2016
116	265	2004
117	266	1992
118	267	1980
119	268	1970
120	269	1959
121	270	1949
122	271	1938
123	273	1929
124	273	1917
125	274	1907
126	275	1896
127	276	1886
128	278	1878
129	279	1869
130	280	1860
131	281	1851
132	282	1844
133	284	1836
134	285	1826
135	285	1816
136	286	1807
137	287	1798
138	289	1790
139	290	1781
140	290	1772
141	291	1763
142	292	1754
143	293	1745
144	294	1737
145	295	1729
146	296	1721
147	297	1714
148	298	1706
149	299	1698
150	300	1690
151	301	1682
152	302	1674
153	303	1666
154	304	1659
155	305	1652
156	306	1645
157	307	1638
158	308	1630
159	309	1623
160	310	1616
161	311	1609
162	312	1602
163	312	1595
164	313	1588
165	314	1581
166	315	1574
167	316	1568
168	317	1562
169	319	1557
170	320	1552
171	321	1547
172	322	1542
173	323	1535
174	324	1530
175	325	1525
176	326	1519
177	327	1513
178	328	1507
179	329	1501
180	330	1495
181	331	1489
182	332	1484
183	333	1479
184	334	1474
185	335	1469
186	336	1464
187	337	1459
188	339	1454
189	339	1449
190	340	1443
191	341	1438
192	342	1433
193	343	1427
194	344	1424
195	345	1418
196	346	1413
197	347	1408
198	348	1404
199	349	1399
200	350	1393
201	351	1388
202	352	1384
203	353	1380
204	354	1375
205	355	1368
206	356	1364
207	356	1359
208	357	1354
209	358	1350
210	359	1345
211	360	1341
212	361	1336
213	362	1332
214	363	1328
215	364	1323
216	365	1319
217	366	1315
218	367	1310
219	368	1307
220	370	1304
221	371	1300
222	372	1296
223	373	1292
224	374	1289
225	375	1286
226	376	1282
227	378	1280
228	379	1276
229	379	1271
230	380	1268
231	382	1264
232	383	1261
233	384	1257
234	385	1254
235	386	1250
236	387	1246
237	388	1243
238	389	1240
239	390	1236
240	391	1233
241	392	1229
242	393	1226
243	394	1223
244	396	1220
245	396	1216
246	398	1213
247	399	1209
248	399	1206
249	401	1203
250	402	1200
251	403	1197
252	404	1193
253	405	1190
254	406	1187
255	407	1183
256	408	1181
257	409	1177
258	410	1174
259	411	1171
260	412	1167
261	413	1164
262	414	1161
263	415	1158
264	416	1154
265	417	1151
266	418	1148
267	419	1146
268	420	1143
269	421	1140
270	422	1136
271	423	1133
272	424	1130
273	425	1127
274	426	1124
275	427	1122
276	428	1119
277	429	1116
278	430	1113
279	431	1110
280	433	1108
281	434	1105
282	435	1102
283	436	1099
284	437	1096
285	438	1093
286	439	1090
287	439	1087
288	440	1084
289	441	1082
290	442	1079
291	443	1076
292	445	1074
293	446	1071
294	446	1067
295	447	1064
296	448	1062
297	449	1059
298	450	1056
299	451	1054
300	452	1051
301	453	1049
302	454	1046
303	455	1043
304	456	1040
305	457	1038
306	458	1035
307	459	1032
308	460	1030
309	461	1027
310	462	1024
311	463	1021
312	464	1019
313	465	1017
314	466	1014
315	467	1012
316	468	1009
317	469	1007
318	471	1005
319	472	1004
320	473	1002
321	474	999
322	476	997
323	477	995
324	478	993
325	479	991
326	480	988
327	481	986
328	482	984
329	483	982
330	484	980
331	485	977
332	486	975
333	487	972
334	488	970
335	489	967
336	490	965
337	491	963
338	492	961
339	493	958
340	495	956
341	496	954
342	497	952
343	498	949
344	498	947
345	499	944
346	500	942
347	501	940
348	502	937
349	503	935
350	504	933
351	505	930
352	506	928
353	507	926
354	508	924
355	509	922
356	510	920
357	511	917
358	512	915
359	513	913
360	514	911
361	515	908
362	516	906
363	517	904
364	518	902
365	519	900
366	520	898
367	521	896
368	522	894
369	524	892
370	525	890
371	526	888
372	527	886
373	528	884
374	529	881
375	530	879
376	530	877
377	531	875
378	532	873
379	534	871
380	535	869
381	535	867
382	536	865
383	537	862
384	539	861
385	540	859
386	540	856
387	541	854
388	542	852
389	543	850
390	544	848
391	545	846
392	546	844
393	547	842
394	548	840
395	549	838
396	550	835
397	551	834
398	552	832
399	553	830
400	554	828
401	555	826
402	556	824
403	557	822
404	558	820
405	559	818
406	560	816
407	561	814
408	562	812
409	563	810
410	564	808
411	565	806
412	566	805
413	567	803
414	568	801
415	569	799
416	570	798
417	572	796
418	573	795
419	574	793
420	575	791
421	576	789
422	577	788
423	578	786
424	580	784
425	581	783
